시군구,코드,세션,C1,서버 이벤트,C2,서버 총량,서버 사용량,서버 가용량,서버 PID,C4,서버 OCI,C5,서버 로그레벨,C6,웹 이벤트,C8,웹 총량,웹 사용량,웹 가용량,웹 PID,C10,웹 로그레벨,C11,특이사항,서버 점검일,이름,연락처,웹 점검일,서버 재기동,웹 재기동
충청남도 당진시,44270,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 금산군,44710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 부여군,44760,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 서천군,44770,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 청양군,44790,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 홍성군,44800,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 예산군,44810,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
충청남도 태안군,44825,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 본청,45000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 전주시,45110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 군산시,45130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 익산시,45140,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 정읍시,45180,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 남원시,45190,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 김제시,45210,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 완주군,45710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 진안군,45720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 무주군,45730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 장수군,45740,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 임실군,45750,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 순창군,45770,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 고창군,45790,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라북도 부안군,45800,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 본청,46000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 목포시,46110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 여수시,46130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 순천시,46150,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 나주시,46170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 광양시,46230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 담양군,46710,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 곡성군,46720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 구례군,46730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 고흥군,46770,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 보성군,46780,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 화순군,46790,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 장흥군,46800,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 강진군,46810,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 해남군,46820,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 영암군,46830,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 무안군,46840,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 함평군,46860,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 영광군,46870,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 장성군,46880,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 완도군,46890,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 진도군,46900,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
전라남도 신안군,46910,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 본청,47000,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 포항시,47110,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 경주시,47130,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 김천시,47150,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 안동시,47170,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 구미시,47190,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 영주시,47210,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 영천시,47230,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 상주시,47250,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 문경시,47280,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 경산시,47290,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 군위군,47720,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 의성군,47730,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 청송군,47750,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 영양군,47760,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
경상북도 영덕군,47770,,○,정상,○,,,,,○,정상,○,,○,정상,○,,,,,○,,○,특이사항없음,,,,,,
